[INFO] in thread 140572702521088: instrumenting function: parse_string
[INFO] in thread 140574833219328: instrumenting function: mjs_is_boolean
[INFO] in thread 140574480922368: instrumenting function: mjs_pointer_to_value
[INFO] in thread 140572400547584: instrumenting function: expect
[INFO] in thread 140572392154880: instrumenting function: parse_number
[INFO] in thread 140576376723200: instrumenting function: mjs_mk_string
[INFO] in thread 140573809833728: instrumenting function: mjs_strcmp
[INFO] in thread 140575328159488: instrumenting function: mjs_mk_null
[INFO] in thread 140571997894400: instrumenting function: truncate_path
[INFO] in thread 140571989501696: instrumenting function: is_hex_digit
[INFO] in thread 140571981108992: instrumenting function: parse_pair
[INFO] in thread 140574883575552: instrumenting function: mjs_get_double
[INFO] in thread 140573675616000: instrumenting function: mjs_dump
[INFO] in thread 140576418686720: instrumenting function: mjs_get
[INFO] in thread 140571964323584: instrumenting function: parse_identifier
[INFO] in thread 140571955930880: instrumenting function: hexdec
[INFO] in thread 140577702147840: instrumenting function: call_stack_restore_frame
[INFO] in thread 140571595241216: instrumenting function: b64rev
[INFO] in thread 140571586848512: instrumenting function: get_matched_prefix_len
[INFO] in thread 140573633652480: instrumenting function: mjs_get_bcode_filename
[INFO] in thread 140572736091904: instrumenting function: mjs_get_offset_by_call_frame_num
[INFO] in thread 140572727699200: instrumenting function: b64idx
[INFO] in thread 140572710913792: instrumenting function: cur
[INFO] in thread 140571553277696: instrumenting function: next_set_key
[INFO] in thread 140572694128384: instrumenting function: parse_object
[INFO] in thread 140570924152576: instrumenting function: mjs_pop_val
[INFO] in thread 140575865030400: instrumenting function: mjs_get_string
[INFO] in thread 140572383762176: instrumenting function: skip_whitespaces
[INFO] in thread 140570873796352: instrumenting function: mjs_bcode_commit
[INFO] in thread 140572375369472: instrumenting function: test_and_skip
[INFO] in thread 140570504713984: instrumenting function: parse_statement
[INFO] in thread 140570496321280: instrumenting function: skip_spaces_and_comments
[INFO] in thread 140575311374080: instrumenting function: mjs_mk_undefined
[INFO] in thread 140577131706112: instrumenting function: _real_program_main
[INFO] in thread 140570471143168: instrumenting function: getstr
[INFO] in thread 140572350191360: instrumenting function: get_escape_len
[INFO] in thread 140570110453504: instrumenting function: getident
[INFO] in thread 140570102060800: instrumenting function: is_reserved_word_token
[INFO] in thread 140570085275392: instrumenting function: longtok4
[INFO] in thread 140570068489984: instrumenting function: ptranslate
[INFO] in thread 140571570063104: instrumenting function: indent
[INFO] in thread 140571561670400: instrumenting function: next_cb
[INFO] in thread 140569766516480: instrumenting function: parse_let
[INFO] in thread 140569758123776: instrumenting function: parse_block
[INFO] in thread 140571544884992: instrumenting function: mjs_get_loaded_file_bcode
[INFO] in thread 140569045104384: instrumenting function: parse_if
[INFO] in thread 140570915759872: instrumenting function: mjs_check_arg
[INFO] in thread 140572685735680: instrumenting function: parse_array
[INFO] in thread 140569170929408: instrumenting function: emit_str
[INFO] in thread 140570907367168: instrumenting function: mjs_parse
[INFO] in thread 140574464136960: instrumenting function: mjs_is_string
[INFO] in thread 140570890581760: instrumenting function: emit_byte
[INFO] in thread 140569137358592: instrumenting function: parse_for_in
[INFO] in thread 140569028318976: instrumenting function: parse_block_or_stmt
[INFO] in thread 140569019926272: instrumenting function: ptest
